Sample	div
V4DE1S	6429.99
NKV7FU	6455.133
ZY3WIG	6471.8496
KVIVVI	6473.0244
CRVFO0	6473.596
7VLLF7	6486.974
0ELSN6	6497.6313
9GMQ8X	6499.144
I1DLI7	6501.3037
11ECQW	6513.5615
PP6VFA	6542.3154
NYTZ4U	6542.76
LMLE9Y	6547.6963
HQZDUC	6551.6035
WPP9J1	6555.7666
A51D59	6559.92
XPJKCB	6561.8867
JF75L3	6566.307
253J03	6568.957
D7ID1B	6595.444
0OR4VZ	6598.497
ALMM11	6601.251
1OIG9R	6615.02
SD3OQC	6617.5967
RSENCQ	6628.3604
VH12HU	6645.2314
ZJYCG0	6647.1836
U0W0YH	6649.8813
H6RD93	6707.881
33EXMH	6727.086
FC388D	6741.5757
KMMA8J	6749.947
6CPMDI	6759.078
TRO8OV	6781.1855
