Index,Mean,Variance,Weight
126,0.000000000000000,1.000000000000000,0.000001539506234
121,0.000000000000000,1.000000000000000,0.000001542131938
113,0.000000000000000,1.000000000000000,0.000001542969719
105,0.000000000000000,1.000000000000000,0.000001543359204
85,0.000000000000000,1.000000000000000,0.000001543646422
83,0.000000000000000,1.000000000000000,0.000001543665947
60,0.000000000000000,1.000000000000000,0.000001543845940
35,0.000000000000000,1.000000000000000,0.000001543981269
33,0.000000000000000,1.000000000000000,0.000001543989606
91,14034.201246186687058,60097682.377485044300556,0.009779702225532
90,39089.447571358294226,245356319.235176920890808,0.015232022186793
7,87672.354854209668702,942812223.985922098159790,0.022897759671462
79,173116.285136279300787,3034910947.459526062011719,0.034806009022879
109,310905.908690869400743,8311297996.081328392028809,0.052219766587251
22,539197.795588964130729,24808200283.539062500000000,0.070121005442354
98,910579.257467782008462,62808739240.194114685058594,0.071073731814346
48,1548456.662566774059087,165246516396.409210205078125,0.092362970915566
107,2345169.044953942764550,78112777352.138900756835938,0.019360066712328
128,2525470.440739724785089,49444682.855871275067329,0.001606751633903
31,2746419.343840885907412,282572855080.230468750000000,0.035794259226865
76,3183808.257301651407033,338267545696.915161132812500,0.010815144996535
8,3441725.846083872485906,486576913307.554443359375000,0.029097342272259
27,3846064.767255707178265,491255553955.088317871093750,0.022082978910005
86,4219160.280015989206731,233272923250.761322021484375,0.006412108914666
5,4815424.913697469048202,466558895660.865783691406250,0.025510414556848
112,4881257.250457702204585,41690305016.998802185058594,0.000964918259981
53,5266383.739152162335813,335945130108.560668945312500,0.012786462184326
103,5363915.225623951293528,64049616867.450035095214844,0.002207999932347
99,5555508.061649298295379,136683296611.316619873046875,0.002718779224964
108,5830990.588756786659360,19480269060.700294494628906,0.001086224677803
75,6115861.303584736771882,167089558012.488891601562500,0.007330215777775
70,6384321.753600233234465,139970823426.606231689453125,0.005379062968477
72,6893228.641627621836960,348202701889.635192871093750,0.003959719330557
119,7011799.217320529744029,11756384600.124748229980469,0.000626037235552
41,7110407.409916391596198,593763262363.464599609375000,0.008005738980915
1,7217952.652664174325764,906596156448.500854492187500,0.013427561499221
51,7246800.966310374438763,506992842673.513732910156250,0.006537315625779
17,8038249.799827756360173,874515239685.941894531250000,0.011453276609961
96,8372099.729182373732328,219021899725.492553710937500,0.001057339348124
42,8410815.592409621924162,683299392814.936523437500000,0.008357824003495
125,8582595.936105342581868,13714744984.002565383911133,0.000411627727464
36,9291621.999047229066491,669178657314.072875976562500,0.010276738598278
115,9537172.972598642110825,40075937974.184257507324219,0.000128255305909
10,10195872.449428839609027,1388553800796.146728515625000,0.012975381594646
74,10201991.849067222326994,676414349691.177612304687500,0.003795550163897
39,10237065.097770359367132,1122962900355.719970703125000,0.008533121659320
88,10936735.952730776742101,166164983229.452484130859375,0.002253642270346
100,11568946.507547821849585,43315574667.549316406250000,0.000785627516329
6,12278072.777615183964372,1519504284350.019042968750000,0.012768121539741
110,12342146.846493316814303,64606576629.671501159667969,0.000279350917224
9,12542627.177198236808181,1463206277932.633300781250000,0.012255429876144
61,12689568.291372474282980,652980905276.809326171875000,0.004943195458562
118,13144940.997734451666474,31118274587.295776367187500,0.000502447036701
93,13909895.718818672001362,187357274016.380004882812500,0.001189066450624
55,14195222.135935651138425,515096440025.543945312500000,0.006437265676659
102,14514923.652018202468753,136657014925.041091918945312,0.000682472752117
101,14954251.534078462049365,118290138468.232971191406250,0.001139337625905
69,15134794.303981754928827,602711166948.951660156250000,0.003708960791443
87,15469294.693318124860525,476270375470.179992675781250,0.001415888541658
57,15735998.803191544488072,796477915299.910644531250000,0.005124141508990
49,16727387.309797419235110,1306881469206.735351562500000,0.005545206620881
11,17285481.875527124851942,1828401110991.525878906250000,0.009336377204099
3,18139722.207373347133398,2912459903672.810546875000000,0.008924478357437
127,19080228.344283878803253,3118045185.488759994506836,0.000924788891676
21,19182894.929332401603460,3204893308729.575195312500000,0.006729086204024
66,19958123.756491929292679,1220576211190.213378906250000,0.002122827305469
18,20311034.046979404985905,3983302175633.128906250000000,0.007072379777592
52,20438947.041758697479963,1991931393574.990478515625000,0.003470509976084
68,20922367.418297346681356,714680292915.799072265625000,0.002101539814054
94,22002716.317766647785902,147095498883.378326416015625,0.002088920828111
30,22089822.435288030654192,2744085117575.300781250000000,0.006411020065756
37,23006304.369281880557537,1472512144510.455078125000000,0.005879812031521
80,23472554.595192339271307,379256124108.841918945312500,0.002808227884410
25,24346623.237580742686987,383699373918.392517089843750,0.002371359843275
111,24396383.662135366350412,11783886957.975757598876953,0.001316830530027
29,24988823.283164355903864,333398139539.012756347656250,0.001678135626012
116,25235363.320627458393574,98158416825.051300048828125,0.002606374961047
26,25369704.380230627954006,316134636974.409240722656250,0.000246274023523
34,25370529.917720172554255,319474938874.028503417968750,0.000090816142359
13,25529487.536734703928232,332927335111.393920898437500,0.000890821927835
20,25779582.992046661674976,333727328407.083129882812500,0.000280587912438
97,26190629.599767770618200,148590777550.368804931640625,0.003574554529618
54,26808966.035321608185768,327263928943.155334472656250,0.000694001849283
28,26902500.977598819881678,260697988756.961090087890625,0.002423130623900
14,27982426.470027264207602,562108774546.107421875000000,0.006663856189678
63,29571976.177719201892614,91474865813.984878540039062,0.001148483561180
23,31139617.731643863022327,4105303567991.762207031250000,0.027405563518440
122,34562835.084159106016159,781506021524.317016601562500,0.006464870776518
15,35200971.187000997364521,802320690.374398946762085,0.007081707931125
62,36623313.075864367187023,416932992181.566284179687500,0.005539606725585
84,37359770.043611794710159,751580589.085286855697632,0.003828917741089
89,37926285.401709705591202,136231724603.332962036132812,0.001477400780511
59,38655078.060884669423103,489376098536.888000488281250,0.002084509552122
50,39104807.636882714927197,887292040018.581298828125000,0.004906318819250
104,40992743.181696198880672,523383967988.023986816406250,0.002728472813889
81,42212106.638020426034927,754740184084.102172851562500,0.000290690736264
123,42815699.392695099115372,255521860916.442565917968750,0.001017856703234
2,42819005.538395419716835,3696471657491.437988281250000,0.007001089937391
124,43820135.293120346963406,1601362621.976502895355225,0.003280680756479
38,45690224.538563020527363,6567845509181.129882812500000,0.005027739764866
95,46265326.309404842555523,216318924269.008453369140625,0.000572453712568
56,47170020.289638906717300,1512453885.585879802703857,0.003149069735680
45,48398656.013314723968506,7863481912282.561523437500000,0.004414258207049
19,48909404.864752821624279,9864367558740.494140625000000,0.007869882899819
65,49523109.463573373854160,110990124220.685577392578125,0.000837103896992
78,51858026.435998596251011,2751481029427.014648437500000,0.001583596472361
44,55358260.377626664936543,2443074987613.216796875000000,0.003825456470756
71,59005330.758207149803638,3889587188.330975532531738,0.002339110579823
24,60394295.357345938682556,28617190058487.519531250000000,0.023415933191776
58,62893058.169382438063622,3016142504.199934482574463,0.002933547387945
120,71875216.377394199371338,15071621323367.132812500000000,0.007607707678363
4,75473613.752914071083069,3179112786.282667160034180,0.003551200298617
82,77966702.694394275546074,4586995706.039258003234863,0.002711891606923
73,81052189.085372686386108,10301396125.329366683959961,0.001633683922881
114,82451911.202123910188675,4272039048.944560527801514,0.003076978959933
32,83211790.228649780154228,31949247307793.113281250000000,0.012134200412250
77,88284597.776176646351814,7291799898.086387634277344,0.002141667794431
117,96076143.620195657014847,6807625137.495911598205566,0.003060809109073
47,99367785.703013300895691,73866795693429.906250000000000,0.013867099249421
46,105217282.082738518714905,6825296293.843261718750000,0.002896207736223
40,121419477.627149865031242,13353129228.135046005249023,0.002188042349442
16,127764128.687206506729126,222782219120553.406250000000000,0.010587321684246
106,134571081.341645449399948,707663587830.939453125000000,0.005709764837555
12,153555152.476764589548111,26768337697597.605468750000000,0.007604721196206
43,176001070.624760955572128,34166118381848.714843750000000,0.004298572861293
92,193953692.996476769447327,13656479887382.976562500000000,0.003539757912477
67,221555909.414235144853592,172843204593101.812500000000000,0.000449727408378
64,243071172.485044926404953,53754540767.441368103027344,0.001774382332353
