Index,Mean,Variance,Weight
64,0.000000000000000,1.000000000000000,0.000000115445255
55,13819.552162382960887,58193954.631342560052872,0.009540040651275
23,38420.769715945527423,238358889.895100623369217,0.015089298643890
41,86319.107028221376822,914643482.449276924133301,0.022469555008767
7,171234.255674667481799,3035574372.420277118682861,0.034787864735179
59,310738.340702065324876,8613234432.619407653808594,0.053669961809240
53,544169.265721252071671,25570867959.477771759033203,0.070037461046948
50,918939.407860966632143,67665875086.283439636230469,0.071077992489140
26,1494667.897711782716215,163619443960.197753906250000,0.073951414744449
5,2496039.628092886414379,369784206625.820739746093750,0.093464631978894
2,3898217.971524861641228,340871010250.451721191406250,0.056677795269735
44,4908317.822315961122513,159118403455.391174316406250,0.013396686809670
20,5576092.405937785282731,394198540228.612060546875000,0.027351537216734
21,6431093.410629087127745,614125596527.587646484375000,0.018875203698786
17,7106351.884776425547898,735210126471.926513671875000,0.019644763593182
33,8286308.635317905806005,623975303710.614501953125000,0.010513458938463
6,8380498.329059837386012,1111909614196.158447265625000,0.022911834952856
28,9676029.322751237079501,605267500821.560913085937500,0.017196103847262
45,10937953.279978554695845,494699631708.666259765625000,0.007170445963487
42,10943667.868329104036093,475163175007.008361816406250,0.008932480379222
60,11582291.634934084489942,34921183769.695877075195312,0.000396677808826
35,12400238.466515637934208,711121264166.057739257812500,0.013259025212465
3,13259378.486665738746524,1662400750249.968505859375000,0.017131124565289
13,14647141.023256573826075,1265542071391.638183593750000,0.011032600913565
1,15239166.420059915632010,793534694889.000976562500000,0.009333982687311
34,16673558.917190890759230,387951638554.689697265625000,0.004287893144856
11,17796352.671123217791319,1321844693141.600341796875000,0.012930318078145
43,19080555.138006418943405,3119055150.399874210357666,0.000936090915621
4,19534440.487620450556278,2697723078126.565429687500000,0.020155678874192
49,20654974.852906424552202,530380508357.026611328125000,0.005028144967988
56,21894900.389832038432360,162487274827.228179931640625,0.002730488712459
38,22913723.214149963110685,1056969464221.754638671875000,0.010958358432415
37,24391716.355568919330835,9373534100.336826324462891,0.001041526563845
19,25054617.634305447340012,2101646278870.498046875000000,0.009669201316810
27,25377433.137199301272631,900401933927.159667968750000,0.005518563289643
32,27622852.729144301265478,1652754716754.224853515625000,0.008871995850493
25,30359279.552594650536776,4198662435509.732910156250000,0.008481913482206
15,30753807.023662962019444,5620443475994.507812500000000,0.013736169907868
30,31670624.470721244812012,2945902798714.910156250000000,0.006784084298091
54,33788097.103975050151348,324206536993.106201171875000,0.001868700283105
63,34650964.408104218542576,52033632331.858695983886719,0.000989054148214
58,35200964.927785679697990,806438297.470565557479858,0.007116388087703
24,36812267.397288352251053,3238777261882.937011718750000,0.012850958791572
31,37359778.217384502291679,746250560.751891493797302,0.003769338106071
36,40267619.890934810042381,3790858841869.513183593750000,0.006351983974131
57,42883695.844013080000877,231413962548.386077880859375,0.000728829518150
52,43820141.898079842329025,1599378140.511042118072510,0.003283060376317
46,44866787.950684793293476,18066802813616.703125000000000,0.022359628438709
51,47169996.434651173651218,1508061931.708513736724854,0.003128621424957
47,50003869.591356523334980,7863507035194.772460937500000,0.007998812373826
14,57831002.600675545632839,12776742119642.058593750000000,0.019700782440896
9,62893081.397201418876648,3020749800.601376533508301,0.002940342551531
39,68086495.849445253610611,36283816553377.960937500000000,0.016830040479471
12,75473590.690385922789574,3152915714.623157501220703,0.003522898085678
18,81015695.883240625262260,9919313828699.283203125000000,0.013170394357204
62,88284681.878939181566238,7322851988.199992179870605,0.002172349047595
10,93268268.019208163022995,110099367478199.281250000000000,0.016456418894642
40,96076283.023571237921715,6766351758.090156555175781,0.003047457257649
48,105217282.265523239970207,6828696943.726340293884277,0.002903222665790
29,107204406.876642167568207,114651511892287.875000000000000,0.004544267896354
61,121419488.449037775397301,13379652709.707986831665039,0.002190357177110
16,134562965.699920982122421,691600184492.701904296875000,0.005566305188728
22,154120036.500041782855988,778486596680398.000000000000000,0.025691387469911
8,243070933.855973064899445,53923788483.868324279785156,0.001775914720168
