	W1	W2	W3	W4	W5
segsize1	0.008819294	0.0018351675	2.843075e-22	0.0	0.00083170854
segsize2	0.01200932	3e-45	0.0030466605	0.0029763835	0.0
segsize3	0.019484516	0.0	0.0064917505	0.012910403	0.0
segsize4	0.036934193	0.0	0.024128042	2.382788e-07	0.0013044026
segsize5	0.031810433	0.0	0.0258762	2.8605e-41	0.00094552815
segsize6	0.028132258	0.0	0.01733811	1.09099844e-07	0.0009919779
segsize7	0.02891391	0.0	0.016447166	0.00044826878	0.0015958037
segsize8	0.013231375	0.0	0.014890951	0.0	0.00065187714
segsize9	0.009797502	0.0	0.011765441	0.00016453501	9.892657e-22
segsize10	0.012990576	0.0	0.014755628	0.005650148	1.6635469e-21
segsize11	0.011401329	0.0	0.017436644	0.0122593185	5.6979613e-24
segsize12	0.0090643	0.0	0.018037269	0.0038388015	0.0
segsize13	0.0078079645	0.0	0.018409722	0.0040377374	0.0
segsize14	0.006984365	0.0	0.012296493	0.008391462	0.0
segsize15	0.006826317	0.0	0.024520801	0.014131685	0.0009693503
segsize16	0.0011106213	0.0	0.012504943	0.045237634	0.003298991
segsize17	0.0013363658	0.0	0.024003962	0.045049097	0.0033596011
segsize18	2.482301e-18	0.0	0.00839964	0.034083884	0.0029598167
segsize19	0.0	0.0	0.006911441	0.019912036	0.0039313193
segsize20	0.0	0.0	0.0	0.021149425	0.0058423756
segsize21	0.0	0.0	0.00353091	0.037495695	0.007749949
segsize22	0.0	0.0	0.0	0.082912825	0.014620417
changepoint1	0.0	0.0	0.20369379	0.0	0.009070667
changepoint2	0.007283776	0.0	0.14473234	0.0	0.00936149
changepoint3	0.091826	0.0	0.0	0.0	0.013698842
changepoint4	0.049864266	0.0	0.0	0.1373388	0.008056702
changepoint5	0.012265273	0.0	0.0	0.42184302	0.0
changepoint6	0.0	0.38477913	0.0	0.02680508	0.0
changepoint7	0.0	0.2936257	0.0	0.013131501	0.0
changepoint8	0.00027266322	0.14353384	0.0	0.012425563	0.0
changepoint9	0.00062387326	0.08143529	0.0	0.005197414	4.6e-44
changepoint10	0.0017524615	0.0840491	0.0	0.00060943916	1.0405214e-06
bp10MB1	0.20939334	0.0	1.7274795e-38	0.0	0.57388747
bp10MB2	0.16313085	0.0	0.111767694	5.6e-44	0.21923473
bp10MB3	0.042456143	0.0	0.027814358	3.3675288e-19	0.0047823456
bpchrarm1	0.012820272	0.0	0.0	0.0	0.08255401
bpchrarm2	0.02611344	0.0	0.04185894	4.7087238e-30	0.028858775
bpchrarm3	0.021736871	0.0	0.022146462	0.00071781955	0.0014394093
bpchrarm4	0.002928372	3.752843e-08	0.00030930433	0.0	0.0
bpchrarm5	0.0	0.010235047	0.0	0.0	0.0
osCN1	0.078899525	0.0	0.1469298	0.026452536	0.0
osCN2	0.030512292	2.5096821e-12	0.019946143	0.0048290854	0.0
osCN3	0.0014660502	0.00050670747	9.387453e-06	0.0	1.351605e-06
