	W1	W2	W3	W4	W5	W6
segsize1	0.032176018	0.003955057	0.0002510445	0.0	0.013237697	0.0
segsize2	0.041133467	0.0050751814	0.0	0.0	0.012945728	0.0
segsize3	0.08590431	0.011002485	0.0	0.0014547056	0.01777813	0.0
segsize4	0.13963981	0.033928417	0.0014787534	1.905643e-22	0.046466965	0.0
segsize5	0.07062461	0.03671859	0.0018212724	4.2579e-21	0.06587756	0.0
segsize6	0.047545504	0.036889143	0.001191892	0.00927491	0.059904806	0.0
segsize7	0.01101051	0.03601797	0.002397212	0.017381765	0.05160494	7.2674e-41
segsize8	0.0	0.023562497	0.0015151148	0.013968166	0.02251825	2.8940768e-24
segsize9	0.0	0.011859155	0.0005490608	0.012530393	0.0038932234	4.1483545e-07
segsize10	0.0	0.01749442	0.00053602207	0.020643756	0.008890803	0.01304689
segsize11	0.0	0.018363435	0.00042022215	0.022050506	0.005991354	0.0361247
segsize12	0.0	0.017418595	0.0011712034	0.022154331	2.2736345e-22	0.025786955
segsize13	0.0	0.009106497	0.0014839515	0.01863066	0.0	0.017588886
segsize14	0.0	0.0054215104	0.0015617029	0.013591331	3.1307827e-05	0.0126104755
segsize15	0.0	0.005917915	0.0030033132	0.01939188	0.0	0.020428237
segsize16	0.0	0.00090425706	0.0052661044	0.010196113	0.0	0.019599844
segsize17	0.0	0.0024071431	0.00625356	0.016681349	0.0	5.8291225e-38
segsize18	1.4882255e-16	0.0005802968	0.0046160216	0.009332803	1.6392608e-19	0.0
segsize19	0.00012394367	0.0002698584	0.0046918276	0.0074626235	6.1627136e-13	0.0
segsize20	0.0	0.0	0.0049013607	0.0018699985	0.0017668058	0.0043127304
segsize21	0.0	4.585402e-06	0.008951588	0.0070138955	0.0	0.004269472
segsize22	0.0	0.0	0.013714277	0.0	9.603304e-05	6.611716e-05
changepoint1	0.005019966	0.0030195508	0.006281455	0.00588132	0.0	0.17844862
changepoint2	0.0	0.021675522	0.004217376	0.003485545	7.039586e-18	0.57270885
changepoint3	0.0	0.14217386	0.021161845	0.0	0.0	0.0
changepoint4	0.07119263	0.08010177	0.013635997	0.04100694	0.0	0.0
changepoint5	0.32499698	1.2465422e-05	0.0045517124	0.11440891	2.6278434e-07	0.0
changepoint6	0.011700714	0.00012518032	0.00020476923	0.030193873	0.0662682	0.0
changepoint7	0.00344485	0.0	0.0	0.01682621	0.06895173	0.0
changepoint8	0.002110244	0.0	5.5531058e-05	0.013020641	0.06928856	0.0
changepoint9	0.0	1.1230007e-37	4.5441688e-05	0.0056578373	0.06339399	0.0
changepoint10	0.0	6.090462e-19	1.3006934e-05	0.0008568006	0.09653817	0.0
bp10MB1	1.39e-43	0.100961134	0.5456307	0.17958844	2.9217345e-19	0.0
bp10MB2	0.0	0.12797554	0.22287652	0.1827426	3.753902e-33	0.0
bp10MB3	0.07248906	0.05047867	0.0056094145	0.019435264	0.044081744	0.0
bpchrarm1	4.8e-44	0.0042367433	0.06857923	0.0	0.0	0.0
bpchrarm2	0.0	0.007602692	0.03815304	0.04000376	0.0	0.0
bpchrarm3	6.37158e-31	0.019882124	0.003063885	0.021957615	1.6789612e-17	0.0
bpchrarm4	0.012631064	0.007309939	0.0	0.0	0.010443084	0.0
bpchrarm5	0.0	0.00039983843	0.0	0.0	0.0013169539	0.0
osCN1	0.0	0.107698426	0.0	0.08322951	0.21870269	0.095007904
osCN2	0.05288406	0.046765435	0.00014438851	0.018075518	0.05001099	0.0
osCN3	0.015372269	0.0026840707	1.6370684e-07	0.0	0.0	0.0
