	W1	W2	W3	W4	W5	W6
segsize1	0.0011135822	7.1643725e-26	0.01768589	0.04909098	0.0037848633	0.0008397225
segsize2	0.0022120269	2.9329969e-24	0.0032709707	0.06240538	0.005512504	0.00200774
segsize3	0.0009866806	1.2024641e-33	2.4061913e-29	0.11545427	0.013886536	0.0038900846
segsize4	9.935217e-27	0.008200619	0.046735372	0.15082364	0.027710652	0.0040770094
segsize5	0.0098418845	0.014074613	0.061879586	0.042825434	0.027413659	2.5250988e-12
segsize6	0.011883187	0.015116402	0.07101152	5.9683164e-16	0.029567346	0.0
segsize7	0.019128218	0.016428985	0.04710781	0.0	0.029892277	0.001194403
segsize8	0.016812414	0.016952941	0.019061765	0.0	0.0195384	0.0007775948
segsize9	0.01140589	0.0046638255	0.012619888	0.0	0.012656445	0.00084967463
segsize10	0.020982258	0.02777479	0.005287326	0.0	0.016998377	1.6982268e-26
segsize11	0.028550318	0.043870375	0.0	1.1398564e-22	0.016010942	4.808234e-15
segsize12	0.030054012	0.034456566	0.0	0.0010923287	0.015058215	0.00054349616
segsize13	0.020279313	0.024869524	0.0	7.822065e-15	0.009958619	0.0021331771
segsize14	0.015572406	0.016350612	0.0	4e-44	0.00532627	0.0028207253
segsize15	0.023441296	0.022770867	0.00045615842	1.2570161e-36	0.0069176564	0.006135407
segsize16	0.007754335	0.002991218	1.0990105e-21	0.0	0.0029462297	0.007034857
segsize17	0.011136138	0.004386288	3.4570182e-06	0.0	0.0025620481	0.010374017
segsize18	0.00530008	0.004123865	0.0040163766	0.00076324027	0.0008444063	0.0070741093
segsize19	0.0060315044	0.0024555265	0.003187485	0.0	0.00031692555	0.005239005
segsize20	0.0012576339	0.0	0.00014533027	0.0	0.0	0.005005781
segsize21	0.0006855594	0.0	0.006079768	0.0	0.0	0.009819362
segsize22	0.0	1.1453613e-23	2.5280613e-07	0.0	0.0	0.008836077
changepoint1	6.2087333e-37	0.1020242	0.0	0.03802524	0.0	0.008841128
changepoint2	0.010345254	0.21636531	0.0064589866	0.0	0.015360383	0.008413721
changepoint3	8.240465e-35	2.9490878e-29	0.0	4.6576824e-34	0.14833067	0.024672084
changepoint4	0.050265044	3.9464736e-33	0.0	0.054246712	0.081033766	0.014829652
changepoint5	0.12904052	0.0	3.6876373e-18	0.1715475	1.6615357e-09	0.008682358
changepoint6	0.031150423	0.0018022141	0.052836686	0.027719866	1.1996734e-07	0.0
changepoint7	0.022473063	0.0	0.046187717	0.011989158	0.0	0.00015225842
changepoint8	0.017480701	5.8007844e-31	0.052921306	0.009621782	0.0	3.666176e-05
changepoint9	0.008109332	0.0	0.061139785	0.0036638447	0.00044862766	0.0
changepoint10	0.0019221102	0.0	0.13635898	0.0	0.0011194028	0.0
bp10MB1	0.1162948	7.3263326e-11	8.835236e-23	1.94151e-08	0.12666124	0.51492846
bp10MB2	0.15713875	0.13629295	1.0304e-41	6.0541706e-17	0.13857178	0.22529764
bp10MB3	0.025268944	0.01807135	0.0340297	0.076840006	0.048144896	0.0073708985
bpchrarm1	1.2571933e-08	0.0	0.0	0.0020080407	0.004249375	0.050902735
bpchrarm2	0.017762706	0.017439725	1.871642e-36	0.0	0.0076011983	0.04899149
bpchrarm3	0.02657084	0.022728149	0.0014464048	0.0032598523	0.022704931	0.0066256295
bpchrarm4	3.189957e-22	9.3832575e-23	0.001962324	0.017386705	0.00661209	0.0
bpchrarm5	0.0	0.0	0.0023499548	0.0009764116	0.0	0.0
osCN1	0.11240713	0.20530306	0.2774811	0.069690116	0.106125675	0.0015893115
osCN2	0.029341547	0.020486051	0.02827808	0.084353715	0.04444178	1.8797449e-08
osCN3	0.0	0.0	0.0	0.0062155896	0.001691606	1.3777048e-05
