	W1	W2	W3	W4	W5	W6	W7
segsize1	3.704947e-21	0.017547866	0.0012499974	0.07488432	0.010278285	0.0	0.0031360977
segsize2	0.0001245951	0.019532327	0.0010045092	0.06892239	0.012711414	0.0	0.0026684334
segsize3	0.0029779852	0.042464644	0.000631068	0.08383914	0.029309323	0.005413122	0.0033937148
segsize4	0.016808767	0.053641558	0.0005289342	0.086431965	0.069332965	0.0395114	1.6824063e-10
segsize5	0.015549805	0.0004465399	0.00012826944	0.022318741	0.061411947	0.052234266	0.0
segsize6	0.023626419	0.0	5.1606506e-14	0.0066682384	0.05059867	0.052387323	1.413422e-39
segsize7	0.039886314	0.0	0.0007839654	0.0	0.036496703	0.052297834	0.0030918973
segsize8	0.030787706	0.0	0.000172652	0.0	0.01683018	0.028453035	0.009804104
segsize9	0.02218865	0.0	0.00025370784	0.0	0.008093197	0.0147497635	0.008113412
segsize10	0.032743875	0.0	0.0	8.208646e-34	0.01015031	0.020150736	0.016593225
segsize11	0.02763969	9.9252e-40	0.0	0.0	0.008461787	0.017406536	0.024182519
segsize12	0.026209166	0.0023993524	0.0	0.0	0.0067450507	0.014017973	0.027426543
segsize13	0.014227745	0.007427236	0.00041012105	0.0	0.0018593819	0.008975599	0.02119845
segsize14	0.0046912185	0.012021606	0.0006495104	0.0	0.0009975019	0.005041107	0.014763699
segsize15	0.0038423617	0.016706994	0.0021271952	0.0	0.0	0.005306085	0.024109267
segsize16	0.00014270052	0.017405795	0.0042414414	0.0	0.0	0.0023014904	0.009736273
segsize17	3.9789365e-23	0.015115797	0.0052199587	0.0022792886	0.0	0.0010125581	0.014948135
segsize18	0.0	0.003491372	0.0046786782	1.6963256e-10	0.0	0.0025806352	0.0063872314
segsize19	0.0	0.009831619	0.004198478	0.00074259244	0.0	1.3786812e-12	0.0058876146
segsize20	0.0	0.007189654	0.0050837207	0.00040367836	0.0	5.215877e-39	0.0009761741
segsize21	0.0	0.0057651037	0.008491605	0.0015581631	0.0	0.000949312	0.0016948228
segsize22	0.0	0.0	0.013292421	0.0	0.0	0.0	0.0
changepoint1	0.11602129	0.0	0.010893093	0.0	1.5004966e-23	0.0	0.0033147226
changepoint2	0.24629246	0.0	0.006916397	6.5584716e-19	0.0010829685	5.042787e-05	0.01484076
changepoint3	0.0	0.0	0.011133538	0.0	0.17277141	0.0	0.0746313
changepoint4	0.0	0.12108683	0.00790087	0.0	0.10575707	0.028842198	0.05265093
changepoint5	0.0	0.61826485	0.0	0.0	0.025625527	0.10622602	0.0140670575
changepoint6	0.0	0.0150905	1.1359674e-19	0.0	1.0409044e-14	0.06855466	0.0013635883
changepoint7	0.0	0.0	7.198815e-05	7.6060613e-10	0.0	0.050251544	0.0
changepoint8	0.0	0.0	0.00026825792	0.014774982	0.0	0.041994967	1.9498212e-37
changepoint9	0.0	0.0	0.00010782472	0.05219062	5.35e-43	0.025705282	0.0
changepoint10	0.0	0.0	1.2802194e-05	0.31629503	0.0	0.005407424	6.8979724e-38
bp10MB1	1.0715464e-33	0.0	0.5696767	1.37e-43	0.050032005	6.054233e-05	0.22536065
bp10MB2	0.07013023	1.3e-44	0.22288452	0.0	0.07679202	0.036760908	0.2432588
bp10MB3	0.028461313	0.01115539	0.0044740536	0.020026939	0.070093095	0.051178254	0.019196412
bpchrarm1	0.0010836518	0.0	0.07073276	0.0	0.0032178042	1.2631818e-27	0.0027218144
bpchrarm2	1.4e-44	0.0	0.03942098	0.0	0.0005375197	9.811112e-24	0.039937526
bpchrarm3	0.0040704594	5.6805482e-05	0.0023600026	0.0	0.014643877	0.006940248	0.033824638
bpchrarm4	0.0033786353	0.0	0.0	0.0009299226	0.010617439	0.007912201	0.0
bpchrarm5	0.0	0.0	0.0	0.005666863	0.0013197204	0.0	0.0
osCN1	0.24262352	0.0	0.0	0.19474012	0.0830729	0.19306307	0.056670915
osCN2	0.02649143	2.9149535e-37	0.0	0.047052648	0.0551139	0.05363252	0.020049213
osCN3	0.0	0.0033582135	0.0	0.0002744116	0.0060459864	0.0006309857	0.0
